No,Issue 일자,구분,집계여부,집계분류(대),발생처/검사처,제품군,이전공정(발생처),생의번호(SO),생의번호(WO),생의건수(건),JDE 등록여부,고객사,품명,Item Code 또는 규격,긴급검사 여부,수량_생의,수량_검사의뢰,저항1,저항2,두께1,두께2,두께3,두께4,두께5,두께6,두께7,두께8,명도1,특기사항,검사시간(분),검사자/담당자,POP등록여부,검사장비,초도품(FA),판정,부적합 수준,NCR No,귀책구분,귀책처_발생,귀책담당자_발생,귀책처_유출,귀책담당자_유출,치수,특성,조립,누락,형상,외관,기타,불량현상(세부내용),대책서 접수일자,시정(구분),시정(세부내용),시정(일자),원인(구분),원인(세부내용),대책(세부내용),대책(적용일자),유효성(확인일자),유효성(확인한 생의번호),유효성(확인자),유효성(판정),F-Cost_재료,F-Cost_가공/공구,F-Cost_인건,F-Cost_운송,F-Cost_출장,F-Cost_기타,F-Cost_합계,수량_검사(치수),수량_검사(외관),수량_불량(치수),수량_불량(외관),수량_불량(합계),일정_적용월,일정_주차,F-Cost_구분,부적합 종결,발생~대책접수(일),발생~시정(일),발생~대책적용(일),발생~유효성확인(일),대책서 접수,검사수 확인,집계_현상,비고,WO 실시간 등록 여부
6725,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10093121,1,,AXCELIS TECHNOLOGIES,RECEPTACLE(1085-0010-0002),A045S756,,5,5,,,,,,,,,,,,,30,유현정,YES,MVS,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6726,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10093075,1,,AXCELIS TECHNOLOGIES,PLATE SIDE(170173235),A045S308,,48,48,,,,,,,,,,,,무,30,안지유,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,48,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6727,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10093090,1,,AXCELIS TECHNOLOGIES,MASK VBA N/SLOTS(170173368),A045S1040,,5,5,,,,,,,,,,,,무,30,안지유,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6728,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10097656,1,,AXCELIS TECHNOLOGIES,CUP PR FARADAY(170044190),A045S643,,36,36,,,,,,,,,,,,무,30,안지유,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,36,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6729,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10097582,1,,AXCELIS TECHNOLOGIES,KEEPER(170156927),A045S206,,23,23,,,,,,,,,,,,무,30,안지유,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,23,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6730,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10093088,1,,AXCELIS TECHNOLOGIES,DOSE CUP(170164281),A045S153,,16,16,,,,,,,,,,,,무,30,안지유,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,16,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6731,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10097642,1,,AXCELIS TECHNOLOGIES,FLG MOUNT(170162054),A045S186,,3,3,,,,,,,,,,,,무,30,안지유,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6732,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10099527,1,,AXCELIS TECHNOLOGIES,APERTURE AMU INPUT(170151863),A045S677,,5,5,,,,,,,,,,,,무,30,안지유,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6733,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10097628,1,,AXCELIS TECHNOLOGIES,APERTURE AMU INPUT(170151863),A045S677,,27,27,,,,,,,,,,,,무,30,안지유,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,27,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6734,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10097634,1,,AXCELIS TECHNOLOGIES,LINAC QUAD(170166502),A045S778,,30,30,,,,,,,,,,,,무,30,안지유,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,30,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
